Project,Package,Class,Smell,Description,File
java,org.apache.roller.planet.business,PlanetManager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Weblogger; UserManager; User; RollerContext; WebloggerFactory; WebloggerProvider; CacheManager; CacheHandler; WeblogEntry; Weblog; WeblogCategory; WeblogEntryManager; WeblogEntrySearchCriteria; WeblogEntryComment; CommentSearchCriteria; WeblogHitCount; WeblogTheme; ThemeManager; WeblogPermission; WebloggerRuntimeConfig; PluginManager; WeblogBookmarkFolder; WeblogBookmark; BookmarkManager; MediaFileDirectory; MediaFile; FileContent; MediaFileManager; WeblogEntryAttribute; WeblogEntryTag; GlobalPermission; WeblogEntryPlugin; WeblogTemplate; CustomTemplateRendition; WeblogManager; AutoPingManager; AutoPing; PingQueueManager; PingQueueEntry; IndexManager; URLStrategy; FileContentManager; PlanetManager; PlanetGroup,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/PlanetManager.java
java,org.apache.roller.planet.business,BootstrapException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RollerException,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/BootstrapException.java
java,org.apache.roller.planet.business,PlanetProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/PlanetProvider.java
java,org.apache.roller.planet.business,InitializationException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/InitializationException.java
java,org.apache.roller.planet.business,InitializationException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RollerException,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/InitializationException.java
java,org.apache.roller.planet.business.updater,UpdaterException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RollerException,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/UpdaterException.java
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetManagerImpl.java
java,org.apache.roller.planet.tasks,StaticPlanetModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/tasks/StaticPlanetModel.java
java,org.apache.roller.planet.tasks,StaticPlanetModel,Feature Envy,The tool detected a instance of this smell because getFeedEntries is more interested in members of the type: PlanetManager,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/tasks/StaticPlanetModel.java
java,org.apache.roller.planet.tasks,GeneratePlanetTask,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): PlanetTask,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java
