Project,Package,Class,Method,Smell,Description,Method start line no,File
java,org.apache.roller.planet.business,PlanetManager,getEntries,Long Parameter List,The method has 5 parameters. ,167,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/PlanetManager.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Complex Conditional,The conditional expression sub.getLastUpdated() != null && updatedSub.getLastUpdated() != null && !updatedSub.getLastUpdated().after(sub.getLastUpdated()) is complex.,48,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Long Statement,The length of the statement "if (sub.getLastUpdated() != null && updatedSub.getLastUpdated() != null && !updatedSub.getLastUpdated().after(sub.getLastUpdated())) {" is 134.,48,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,updateSubscription,Long Statement,The length of the statement "log.debug("updated feed -- " + sub.getFeedURL() + " -- in "+ ((subEndTime - subStartTime) / RollerConstants.SEC_IN_MS)+ " seconds. "+ entries+ " entries updated.");" is 164.,48,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.jpa,JPAPlanetImpl,JPAPlanetImpl,Long Parameter List,The method has 5 parameters. ,56,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetImpl.java
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getGroup,Magic Number,The method contains a magic number: 2,238,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetManagerImpl.java
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getEntries,Long Parameter List,The method has 5 parameters. ,298,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetManagerImpl.java
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,getEntries,Long Statement,The length of the statement "log.debug("Generated aggregation of " + ret.size() + " in "+ ((endTime - startTime) / RollerConstants.SEC_IN_MS)+ " seconds");" is 126.,298,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetManagerImpl.java
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,RomeFeedFetcher,Magic Number,The method contains a magic number: 3,64,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/fetcher/RomeFeedFetcher.java
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,fetchSubscription,Complex Conditional,The conditional expression lastModified != null && newSub.getLastUpdated() != null && !newSub.getLastUpdated().after(lastModified) is complex.,79,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/fetcher/RomeFeedFetcher.java
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,fetchSubscription,Complex Method,Cyclomatic complexity of the method is 9,79,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/fetcher/RomeFeedFetcher.java
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,buildEntry,Complex Method,Cyclomatic complexity of the method is 12,163,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/fetcher/RomeFeedFetcher.java
java,org.apache.roller.planet.pojos,PlanetGroup,getRecentEntries,Magic Number,The method contains a magic number: 10,144,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/PlanetGroup.java
java,org.apache.roller.planet.util,MailUtil,sendMessage,Complex Method,Cyclomatic complexity of the method is 14,41,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/MailUtil.java
java,org.apache.roller.planet.util,MailUtil,sendMessage,Long Parameter List,The method has 8 parameters. ,41,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/MailUtil.java
