Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
java,org.apache.roller,RollerException,RollerException,4,1,0,33,0,,
java,org.apache.roller,RollerException,RollerException,4,1,1,42,0,,
java,org.apache.roller,RollerException,RollerException,4,1,2,52,0,,
java,org.apache.roller,RollerException,RollerException,3,1,1,63,0,,
java,org.apache.roller,RollerException,getRootCause,3,1,0,72,0,,
java,org.apache.roller,RollerException,getRootCauseMessage,12,3,0,81,0,org.apache.roller.RollerException,org.apache.roller.RollerException
java,org.apache.roller,RollerException,printStackTrace,7,2,0,99,0,,
java,org.apache.roller,RollerException,printStackTrace,7,2,1,113,0,,
java,org.apache.roller,RollerException,printStackTrace,7,2,1,127,0,,
java,org.apache.roller.planet.config,PlanetRuntimeConfig,PlanetRuntimeConfig,2,1,0,44,0,,
java,org.apache.roller.planet.config,PlanetRuntimeConfig,getProperty,12,1,1,47,0,org.apache.roller.weblogger.business.PropertiesManager,org.apache.roller.weblogger.business.PropertiesManager; org.apache.roller.weblogger.business.Weblogger; org.apache.roller.weblogger.business.WebloggerFactory; org.apache.roller.weblogger.pojos.RuntimeConfigProperty
java,org.apache.roller.planet.config,PlanetRuntimeConfig,getBooleanProperty,5,2,1,68,0,org.apache.roller.planet.config.PlanetRuntimeConfig,org.apache.roller.planet.config.PlanetRuntimeConfig
java,org.apache.roller.planet.config,PlanetRuntimeConfig,getIntProperty,12,2,1,83,0,org.apache.roller.planet.config.PlanetRuntimeConfig,org.apache.roller.planet.config.PlanetRuntimeConfig
java,org.apache.roller.planet.config,PlanetRuntimeConfig,getRuntimeConfigDefs,13,2,0,105,0,org.apache.roller.weblogger.config.runtime.RuntimeConfigDefsParser,org.apache.roller.weblogger.config.runtime.RuntimeConfigDefsParser
java,org.apache.roller.planet.config,PlanetRuntimeConfig,getRuntimeConfigDefsAsString,14,1,0,128,0,,
java,org.apache.roller.planet.business,PlanetManager,savePlanet,0,1,1,37,0,,
java,org.apache.roller.planet.business,PlanetManager,deletePlanet,0,1,1,40,0,,
java,org.apache.roller.planet.business,PlanetManager,getWeblogger,0,1,1,43,0,,
java,org.apache.roller.planet.business,PlanetManager,getWebloggerById,0,1,1,46,0,,
java,org.apache.roller.planet.business,PlanetManager,getWebloggers,0,1,0,49,0,,
java,org.apache.roller.planet.business,PlanetManager,saveGroup,0,1,1,52,0,,
java,org.apache.roller.planet.business,PlanetManager,deleteGroup,0,1,1,58,0,,
java,org.apache.roller.planet.business,PlanetManager,getGroup,0,1,2,64,0,,
java,org.apache.roller.planet.business,PlanetManager,getGroupById,0,1,1,67,0,,
java,org.apache.roller.planet.business,PlanetManager,saveSubscription,0,1,1,73,0,,
java,org.apache.roller.planet.business,PlanetManager,deleteSubscription,0,1,1,79,0,,
java,org.apache.roller.planet.business,PlanetManager,getSubscription,0,1,1,85,0,,
java,org.apache.roller.planet.business,PlanetManager,getSubscriptionById,0,1,1,91,0,,
java,org.apache.roller.planet.business,PlanetManager,getSubscriptions,0,1,0,97,0,,
java,org.apache.roller.planet.business,PlanetManager,getSubscriptionCount,0,1,0,103,0,,
java,org.apache.roller.planet.business,PlanetManager,getTopSubscriptions,0,1,2,109,0,,
java,org.apache.roller.planet.business,PlanetManager,getTopSubscriptions,0,1,3,115,0,,
java,org.apache.roller.planet.business,PlanetManager,saveEntry,0,1,1,122,0,,
java,org.apache.roller.planet.business,PlanetManager,deleteEntry,0,1,1,128,0,,
java,org.apache.roller.planet.business,PlanetManager,deleteEntries,0,1,1,134,0,,
java,org.apache.roller.planet.business,PlanetManager,getEntryById,0,1,1,143,0,,
java,org.apache.roller.planet.business,PlanetManager,getEntries,0,1,3,149,0,,
