Project,Package,Class,Smell,Description,File
java,org.apache.roller.planet.config,PlanetRuntimeConfig,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.roller.weblogger.config.runtime.RuntimeConfigDefsParser,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/config/PlanetRuntimeConfig.java
java,org.apache.roller.planet.config,PlanetRuntimeConfig,Law of Demeter violation,The tool detected the smell in this method (getProperty) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.Weblogger.getPropertiesManager,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/config/PlanetRuntimeConfig.java
java,org.apache.roller.planet.config,PlanetRuntimeConfig,Law of Demeter violation,The tool detected the smell in this method (getProperty) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.pojos.RuntimeConfigProperty.getValue; org.apache.roller.weblogger.business.PropertiesManager.getProperty,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/config/PlanetRuntimeConfig.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Law of Demeter violation,The tool detected the smell in this method (updateSubscription) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.Weblogger.getFeedFetcher; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Law of Demeter violation,The tool detected the smell in this method (updateSubscription) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.Weblogger.getPlanetManager,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Law of Demeter violation,The tool detected the smell in this method (updateSubscription) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.Weblogger.flush; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Law of Demeter violation,The tool detected the smell in this method (updateSubscriptions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.Weblogger.getPlanetManager,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,Law of Demeter violation,The tool detected the smell in this method (updateSubscriptions) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.weblogger.business.Weblogger.getPlanetManager,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java
java,org.apache.roller.planet.business.jpa,JPAPlanetImpl,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.planet.business.jpa.JPAPlanetImpl.getPropertiesManager; org.apache.roller.weblogger.business.PropertiesManager.initialize,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetImpl.java
