Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
java,org.apache.roller,RollerException,1,0,9,5,93,14,5,0,0.0,5,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/RollerException.java,25
java,org.apache.roller.planet.config,PlanetRuntimeConfig,3,0,6,5,78,9,0,0,0.3333333333333333,2,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/config/PlanetRuntimeConfig.java,33
java,org.apache.roller.planet.business,PlanetManager,0,0,25,0,97,25,1,1,-1.0,16,6,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/PlanetManager.java,31
java,org.apache.roller.planet.business,BootstrapException,0,0,2,2,11,2,0,1,-1.0,1,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/BootstrapException.java,24
java,org.apache.roller.planet.business,MultiPlanetURLStrategy,0,0,7,7,89,15,1,1,-1.0,1,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/MultiPlanetURLStrategy.java,27
java,org.apache.roller.planet.business,PlanetProvider,0,0,2,0,13,2,0,0,-1.0,0,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/PlanetProvider.java,22
java,org.apache.roller.planet.business,AbstractManagerImpl,0,0,3,3,11,3,2,1,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/AbstractManagerImpl.java,22
java,org.apache.roller.planet.business,InitializationException,0,0,2,2,11,2,0,1,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/InitializationException.java,24
java,org.apache.roller.planet.business,PlanetURLStrategy,0,0,7,0,46,7,1,0,-1.0,7,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/PlanetURLStrategy.java,24
java,org.apache.roller.planet.business,Planet,0,0,8,0,37,8,1,0,-1.0,2,5,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/Planet.java,26
java,org.apache.roller.planet.business,Manager,0,0,3,0,17,3,2,0,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/Manager.java,22
java,org.apache.roller.planet.business.updater,UpdaterException,0,0,2,2,11,2,0,1,-1.0,2,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/UpdaterException.java,24
java,org.apache.roller.planet.business.updater,FeedUpdater,0,0,3,0,21,3,1,0,-1.0,2,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/FeedUpdater.java,25
java,org.apache.roller.planet.business.updater,SingleThreadedFeedUpdater,1,0,6,4,139,17,0,1,0.3333333333333333,2,8,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java,37
java,org.apache.roller.planet.business.jpa,JPAPlanetImpl,6,0,9,8,57,9,0,2,0.0,1,6,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetImpl.java,33
java,org.apache.roller.planet.business.jpa,JPAPlanetManagerImpl,2,0,31,30,235,48,0,2,0.06451612903225806,1,8,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetManagerImpl.java,44
java,org.apache.roller.planet.business.fetcher,RomeFeedFetcher,3,0,5,3,125,24,1,1,0.0,0,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/fetcher/RomeFeedFetcher.java,50
java,org.apache.roller.planet.business.fetcher,FeedFetcher,0,0,2,0,19,2,1,0,-1.0,8,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/fetcher/FeedFetcher.java,25
java,org.apache.roller.planet.business.fetcher,FetcherException,0,0,5,5,44,8,0,1,-1.0,3,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/business/fetcher/FetcherException.java,26
java,org.apache.roller.planet.tasks,StaticPlanetModel,1,0,5,5,34,6,0,0,0.0,0,6,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/tasks/StaticPlanetModel.java,30
java,org.apache.roller.planet.tasks,GeneratePlanetTask,1,0,2,2,39,3,0,1,0.0,0,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/tasks/GeneratePlanetTask.java,33
java,org.apache.roller.planet.tasks,RefreshPlanetTask,1,0,2,2,24,2,0,1,0.0,0,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/tasks/RefreshPlanetTask.java,29
java,org.apache.roller.planet.tasks,PlanetTask,0,0,1,1,10,1,2,0,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/tasks/PlanetTask.java,22
java,org.apache.roller.planet.pojos,Template,0,0,2,0,6,2,1,0,-1.0,1,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/Template.java,12
java,org.apache.roller.planet.pojos,SubscriptionEntry,11,0,40,40,209,50,0,0,0.425,6,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/SubscriptionEntry.java,30
java,org.apache.roller.planet.pojos,Subscription,10,0,29,27,134,32,0,0,0.2413793103448276,12,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/pojos/Subscription.java,27
